Frame,Left Iris Center X,Left Iris Center Y,Left Iris Radius,Right Iris Center X,Right Iris Center Y,Right Iris Radius,Left Pupil Center X,Left Pupil Center Y,Left Pupil Radius,Right Pupil Center X,Right Pupil Center Y,Right Pupil Radius
171,534,306,5,479,319,5,478,318,2,534,305,2
172,537,305,5,481,318,6,481,317,2,536,304,2
173,539,303,5,484,316,6,484,315,2,539,302,2
174,542,303,6,486,316,6,486,315,2,542,302,2
175,544,305,6,488,318,5,488,317,2,543,303,2
176,546,306,5,490,319,5,490,318,2,545,305,2
177,547,305,5,492,318,5,492,317,2,547,304,2
178,550,303,5,494,316,6,494,315,2,550,302,2
179,552,302,6,496,316,6,496,314,2,552,301,2
180,554,303,5,499,317,5,498,315,2,554,302,2
181,556,304,5,501,318,5,500,317,2,556,303,2
182,560,304,5,505,318,6,504,316,2,560,303,2
183,564,303,5,508,316,6,508,315,2,563,301,2
184,567,302,6,512,316,6,511,315,2,567,301,2
185,571,303,6,516,316,6,515,315,2,571,301,2
186,575,303,5,519,318,5,519,316,2,575,302,2
187,578,304,6,522,318,5,522,316,2,577,303,2
188,580,302,5,524,316,5,524,315,2,580,301,2
189,581,301,6,525,315,5,525,314,2,581,300,2
190,583,301,5,526,315,5,526,314,2,582,300,2
191,584,302,5,528,316,5,528,315,2,584,300,2
192,587,302,5,530,316,5,530,315,2,586,301,2
193,589,301,5,533,315,6,532,314,2,588,300,2
194,590,300,6,534,315,6,533,313,2,590,299,2
195,592,301,6,536,315,6,536,313,2,592,299,2
196,594,301,6,537,316,6,537,314,2,593,300,2
197,596,301,6,539,316,6,539,315,2,595,300,2
198,597,301,6,541,315,6,540,314,2,597,299,2
199,598,300,6,542,315,5,541,314,2,598,299,2
200,599,301,6,542,315,5,542,314,2,598,299,2
201,599,301,5,542,316,5,542,315,2,599,300,2
202,599,301,6,543,316,5,542,315,2,599,300,2
203,599,301,6,542,316,5,542,314,2,599,300,2
204,599,301,6,542,316,5,542,315,2,598,300,2
205,598,301,6,541,316,6,541,315,2,598,300,2
206,597,301,6,541,316,5,540,315,2,597,300,2
207,596,301,6,539,316,5,539,315,2,595,299,2
208,595,302,5,538,317,5,537,316,2,594,301,2
209,592,306,5,535,320,5,535,319,2,591,304,2
210,585,311,5,530,325,5,530,324,2,585,310,2
211,578,317,5,522,331,5,522,330,2,578,316,2
216,505,389,5,451,402,4,451,401,2,505,388,2
220,483,445,4,430,456,4,430,455,2,483,444,2
239,489,423,4,437,436,4,437,435,2,489,422,2
240,489,423,5,438,436,4,437,435,2,489,422,2
269,491,394,5,439,406,5,438,404,2,491,393,2
271,491,390,5,439,402,5,439,401,2,491,389,2
272,492,389,5,439,401,5,438,400,2,491,388,2
273,491,388,5,438,400,5,438,399,2,490,387,2
274,490,387,5,437,400,5,437,399,2,490,386,2
275,490,387,5,436,400,5,436,399,2,490,386,2
276,489,387,5,436,400,5,435,399,2,489,386,2
277,489,388,5,435,401,5,434,400,2,488,386,2
278,488,388,5,434,401,5,433,400,2,487,387,2
279,487,388,5,433,401,5,433,400,2,487,386,2
280,487,388,5,433,401,5,432,400,2,487,387,2
281,486,388,5,432,401,5,432,400,2,486,387,2
282,486,387,5,431,401,5,431,400,2,486,386,2
283,486,386,5,431,399,5,430,398,2,486,385,2
284,486,385,5,430,398,5,430,397,2,486,384,2
285,486,383,5,430,396,5,430,395,2,486,382,2
286,486,381,5,430,394,6,429,393,2,486,380,2
287,486,380,6,430,394,5,429,393,2,486,378,2
288,487,380,6,430,394,5,430,392,2,487,378,2
289,488,379,6,430,393,5,430,392,2,487,378,2
290,488,378,6,431,392,5,430,391,2,488,377,2
291,490,379,6,431,393,5,431,391,2,489,377,2
292,491,380,6,432,394,5,432,393,2,490,379,2
293,491,382,6,432,395,6,432,394,2,491,381,2
295,492,383,6,433,397,5,432,395,2,492,382,2
296,492,384,6,432,397,5,432,396,2,492,382,2
300,491,380,6,432,394,5,432,393,2,491,379,2
357,498,303,6,439,315,6,439,314,2,497,301,2
358,497,304,6,439,316,6,438,315,2,497,302,2
359,495,304,6,438,316,6,437,315,2,495,302,2
360,495,303,6,437,316,6,437,315,2,494,302,2
361,493,303,5,436,316,6,436,314,2,493,302,2
362,492,304,6,435,317,6,435,315,2,492,302,2
363,491,304,6,435,317,6,434,316,2,491,303,2
364,490,304,5,434,317,6,434,315,2,490,303,2
365,489,302,5,433,316,5,433,314,2,489,301,2
366,489,301,5,434,315,6,433,313,2,489,300,2
367,488,301,5,433,314,6,432,313,2,488,300,2
368,487,300,5,432,314,6,431,312,2,487,299,2
369,487,299,5,432,313,5,432,312,2,486,298,2
370,487,298,5,432,313,6,431,312,2,487,297,2
371,487,298,6,432,313,6,432,311,2,487,297,2
372,487,298,5,432,313,6,432,312,2,487,297,2
373,488,299,5,432,314,6,432,312,2,488,298,2
374,488,300,5,433,314,6,432,313,2,488,298,2
375,489,300,5,433,314,6,432,313,2,488,299,2
376,489,300,6,433,314,6,432,313,2,488,299,2
377,489,300,5,433,314,6,432,313,2,488,299,2
378,489,301,5,433,315,6,432,314,2,489,300,2
379,489,301,5,433,315,6,433,314,2,489,300,2
380,489,301,5,433,315,6,432,314,2,489,299,2
381,489,301,5,433,315,6,433,313,2,489,300,2
382,489,300,6,433,314,6,432,313,2,489,299,2
383,489,301,5,432,315,5,432,314,2,489,299,2
